CustomerID,Age,Annual Income (k$),Spending Score (1-100)
1,19,15,39
2,21,15,81
3,20,16,6
4,23,16,77
5,31,17,40
6,22,17,76
7,35,18,6
8,23,18,94
9,64,19,3
10,30,19,72
11,67,20,14
12,35,20,99
13,58,21,15
14,24,21,77
15,37,22,13
16,22,22,79
17,35,23,35
18,20,23,66
19,52,24,29
20,35,24,98
21,35,25,35
22,25,25,73
23,46,26,5
24,31,26,73
25,54,27,14
26,29,27,82
27,27,28,32
28,20,28,61
29,49,29,31
30,29,29,87
31,31,30,4
32,27,30,73
33,47,31,4
34,27,31,92
35,32,32,14
36,25,32,81
37,35,33,17
38,28,33,73
39,32,34,26
40,29,34,75
41,32,35,35
42,28,35,92
43,31,36,36
44,30,36,61
45,29,37,28
46,29,37,65
47,31,38,55
48,25,38,47
49,29,39,42
50,35,39,42
